Name,Slug,Title,Button 1 Text,Button 1 Link,Button 2 Text,Button 2 Link,Category
Protocols - Session 1 (June 17),protocols-session-1-june-17,Protocols,BUY INDIVIDUAL,,BUY GROUP,,Upcoming
Protocols - Session 1 (June 29),protocols-session-1-june-29,Protocols,BUY INDIVIDUAL,,BUY GROUP,,Upcoming
Lead Rotation Triggers,lead-rotation-triggers,Lead Rotation Triggers,BUY INDIVIDUAL,,BUY GROUP,,Upcoming
Play Calling Coverage,play-calling-coverage,Play Calling Coverage,BUY INDIVIDUAL,,BUY GROUP,,Upcoming
Webinar Bulk Packages,webinar-bulk-packages,Webinar Bulk Packages,BUY INDIVIDUAL,,,, Upcoming
Breaking Down Key Basketball Plays,breaking-down-key-basketball-plays,Breaking Down Key Basketball Plays,BUY INDIVIDUAL,,BUY GROUP,,Available to purchase
Referees Basic 3PO,referees-basic-3po,Referees Basic 3PO,BUY NOW,,,, Available to purchase
Shoot Protection and Open Angle Calling,shoot-protection-and-open-angle-calling,Shoot Protection and Open Angle Calling,BUY INDIVIDUAL,,BUY GROUP,,Available to purchase
Referees - Beginner to Intermediate Play Calling,referees-beginner-to-intermediate-play-calling,Referees - Beginner to Intermediate Play Calling,BUY NOW,,,, Available to purchase
FIBA Roundtable,fiba-roundtable,FIBA Roundtable,BUY INDIVIDUAL,,,, Available to purchase
Assessing & Coaching Referees,assessing-and-coaching-referees,Assessing & Coaching Referees,BUY NOW,,,, Available to purchase
The History and Development of 3-Person Officiating Into the Modern Era,history-development-3-person-officiating,The History and Development of 3-Person Officiating Into the Modern Era,BUY INDIVIDUAL,,BUY GROUP,,Available to purchase
Verticality and LGP,verticality-and-lgp,Verticality and LGP,BUY INDIVIDUAL,,BUY GROUP,,Available to purchase
Journey of a Euroleague Referee,journey-of-a-euroleague-referee,Journey of a Euroleague Referee,BUY INDIVIDUAL,,BUY GROUP,,Available to purchase
What It Takes to Be an Umpire at the Elite Level,what-it-takes-to-be-an-umpire-at-the-elite-level,What It Takes to Be an Umpire at the Elite Level,BUY INDIVIDUAL,,,, Available to purchase
NBL1 Breaking Down Your Plays,nbl1-breaking-down-your-plays,NBL1 Breaking Down Your Plays,BUY INDIVIDUAL,,,, Available to purchase
